TRF(bp),NRE80,Alu_F_68,Alu_F_116-121,Alu_F_235-240,Alu_F_397-402,JET,BRO,KUE,label
Alu12 ,Y,0,0.078879512,0.024144398,0.823253633,6.113943352,5.886490725,2.62324929,1
Alu33 ,Y,0,0.074297766,0.027801745,0.861470616,5.63595658,6.134925173,1.262007736,1
Alu40 ,Y,0,0.031259348,0.016751421,0.873392163,6.73239376,6.322219295,2.342422681,1
Alu66 ,N,0,0.087728027,0.030845771,0.764013267,5.390702112,5.679455635,1.810729615,0
Alu89 ,N,0.011045393,0.04517922,0.036485427,0.798546284,5.322343633,5.966659285,1.187626683,0
Alu94 ,N,0,0.041398894,0.058885069,0.655208489,5.353539486,5.922736274,0.695881655,0
Alu98 ,N,0,0.054575524,0.22216097,0.449283352,4.661689897,6.031173398,0.440644728,0
Alu119 ,N,0.15308863,0,0,0.204118174,5.531478917,5.230448921,1.09124643,0
Alu126 ,Y,0.124031008,0,0,0.049095607,4.512697209,4.856756862,4.616943458,1
Alu134 ,N,0.129173989,0,0.135325132,0.053602812,4.633378536,6.031173398,1.340796446,0
Alu140 ,N,0,0,0,0,3.561544977,4.077264547,0.610974129,0
Alu147 ,N,0,0,0,0,4.946368203,5.256264564,1.21895602,0
Alu155 ,N,0,0,0,0.1890625,5.044750815,5.460978802,1.876775114,0
Alu161 ,N,0,0.057737814,0,0.647420729,6.230448921,6.079181246,2.73239376,0
Alu172 ,N,0,0,0,0.357988166,5.56659255,5.827625277,2.374164033,0
Alu175 ,N,0,0,0,0.268656716,4.778789348,6.031173398,2.786159623,0
Alu182 ,N,0,0,0,0,3.219419351,3.167893011,4.616943458,0
Alu189 ,N,0,0.072837633,0.02604957,0.725594335,6.531478917,6.041392685,2.662757832,0
Alu197 ,Y,0.002151345,0.892842508,0.040363338,0.015093566,8.594818387,6.384024793,3.327577021,1
Alu203 ,N,0,0.863352188,0.047409943,0.030440607,8.098729025,5.995865885,2.706305519,0
Alu213,N,0,0.415313225,0.076566125,0.049303944,7.054192821,5.431783851,3.009822484,0
Alu217 ,Y,0,0.771932017,0.07548113,0.07548113,7.556302501,6.176091259,4.146128036,1
Alu224,Y,0.002488078,0.801409911,0.074725275,0.077047481,9.111237545,6.567667692,5.741848721,1
Alu231,N,0.002438085,0.807305702,0.075452329,0.065913854,8.146107275,6.296984593,5.319072055,0
Alu241,Y,0,0.806929721,0.081713781,0.075922654,8.153583269,6.765586997,5.307766289,1
